block_number,reserveA,reserveB,total_reserveA,total_reserveB
18188374,779253598536067388326,2563004674407524300499,816996333371730574858,2687142446745640908933
18188985,790061986806580705643,2553085969283871782480,828331642413508166488,2676754393294875636327
18189276,797784133328724985571,2545463438124467356461,836331525919050658158,2668455328254317178032
18189453,793788675563491573933,2533881806129077462561,832322519569832565169,2656887096143540056341
18189508,792958420040134475446,2534429169393902698012,831455135533125249491,2657471180431954058649
18189602,791892835805200914981,2531830482793356162015,830380178620783060352,2654881763643911840267
18189792,791447813853732940449,2532388462656319807191,829912160521923509549,2655462487274373181947
18189894,796096614233975370671,2527292318094619934770,834792731711900780682,2650137207387548354894
18189898,795980698367781896792,2527406961645445327054,834671181486892586550,2650257423453356862105
18189936,795155180357071409854,2521490291008577571828,833884212109058657000,2644302642553525044441
18189984,795088313957310484051,2517708595028439032392,833859191851242958005,2640479576310391226379
18190089,794340852872707006843,2476744713154874421356,833570472557752997105,2599062170204492139951
18190127,794249352836186952281,2475402835553434330978,833491684621158400304,2597707725104011180706
18190162,794231702756266805152,2474291604167694301757,833486750835733430881,2596583922073354814736
18190288,798087745905785372861,2474571748746018685949,837483917309255805208,2596724548690515393033
18190553,797773323512969596994,2474092623255074498934,837163509249582901514,2596251343141147351229
18190775,803781275169728353469,2468153023427053904096,843468104482507154696,2590018474619462441233
18190870,801797026259701205158,2464264596551912585532,841333671326077934809,2585777587387019458522
18190968,799262071850042712279,2464293548451491415582,838703725945000068272,2585900487088627955542
18191222,792527513541865917841,2470805626844064759714,831638618267167983306,2592739485260525856691
18191352,791463486579195478132,2467607088609171705880,830573162995159463557,2589542359652894015915
18191372,791452299595037093549,2467618152766261442731,830561423213129889805,2589553970538431662918
18191979,791333603102647822120,2467575526973169431617,830438786589425267403,2589515241616186419844
18192187,796187610725771929292,2455320128355229294932,835623144970995813665,2576933250313352655436
18193057,799552300887321078080,2450175619309907779065,839176707901012532761,2571602017416467051535
18193192,799260825000024534925,2450453892825322017530,838870909213510065153,2571894456431165544213
18193479,797272236730383050170,2452155440479437594128,836796744656140150179,2573720236890621110548
18193698,798455384700476157373,2459104615079193897637,837915041152110701221,2580633538484294115777
18193729,798359035896688181846,2459199905812202177506,837813930791484549119,2580733538484294115781
18193758,798309295891676871855,2451069414838260204899,837861324687194274295,2572507018752432035820
18194130,796079938889436304803,2445006601884518115150,835622398399679259374,2566453669991987294653
18194155,796072754107466044141,2445013707761863599360,835656326130070271529,2566588495616468621288
18194302,794005288376749858105,2442574531659614897647,833540902804026001189,2564196750437278738406
