sender,recipient,tokenAIn,exactOutput,amountIn,amountOut,activeTick,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xf14729358C35E7a024639Ea97Aa991B2d577DAD5,False,False,500000000000000000,510562273494686917,21,Swap,186,78,0x3979186a604a37b2148ca1cb32181b71bfbe6229e7636e30bc023427a30d68c4,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x291511acb83c705c5df15c26f47ec4a09ee93a72e6106d2ae33ca1e53bb32f4a,18157726
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,12740000000000000000,13004131972309575976,20,Swap,695,115,0xfb46eb5a0f6e751c8222d4f5823725c4904f4957ce5c4eb09d6ca32591417f0b,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x351633d41395401c68e9db0a02f1d575119e691fc38f014553524f7a3a30e006,18157974
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,729564531707477304,744357471699401416,20,Swap,41,42,0x1686727c2fc7c7bfa5ef10a41add0b8c099eb91d1fafa1b873f8f22ae8e8d336,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x91250bef0c4af5340788238780095146c1225f64a80ebe82ff7aba9b47421f6c,18157991
0x23eBCD701fd92867235aEB0174B7c444b9B2b3Ad,0x23eBCD701fd92867235aEB0174B7c444b9B2b3Ad,False,False,14843989889621850351,15134081387197866907,18,Swap,28,3,0x0873e784a1d43a266904e076c758c46ae6d899d80d4770f73501d07c195d5298,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x35461040136af34756f4d8def549c224b0c97b112f2543e56401ca5bdce4236c,18158076
0x0000690000a5fe503AC89500Eb11519c2Dc00084,0x30eA22C879628514f1494d4BBFEF79D21A6B49A2,True,False,8850320138888888878,8680097410996349310,19,Swap,34,4,0xcd33f2cbb3d480a5fdaccb48a754fe73c5761ab42b4e9326a13f41f31bc43d58,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x35461040136af34756f4d8def549c224b0c97b112f2543e56401ca5bdce4236c,18158076
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x1111111254EEB25477B68fb85Ed929f73A960582,True,False,5000000000000000000,4900129891064250958,20,Swap,203,79,0xa2cb438a6e62c7c8e92fdd4c98c43152522119bcafd5a234d573e8df7db0f5d3,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x288562d5c1cc0c1383cb0c356ef8cf7d2d414fb84285e3addaa0f4005e9d9fe3,18158085
0xd1B47490209CcB7A806E8a45d9479490C040ABf4,0xd1B47490209CcB7A806E8a45d9479490C040ABf4,True,False,192554839526766783,188672050480219180,20,Swap,131,19,0x4728be24fb0d62d11fafe30e4f8ff98bcf3f98979d8e89ce49bfc86694d5b438,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xc9bbf13c20383195b5f4c97a6400d3a1db4d0dae737a30266e3b122d55d6880b,18158322
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,79035497282084211,80630048937641646,20,Swap,90,39,0x9611d93057eaf33c9561b9a89e6c709c6942f42257b0259abff08a1dc4d36ea4,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xed1fd7757dc3acfad3c9b6c57b1474c1c30e05f72e6fb945b719d1924d09d912,18158639
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,28621913906172044,29199259316728993,20,Swap,190,86,0x183ea4d22332df1cade2ef4ce440aac4f387ce9bd95b7c0d0c549556603f7804,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xa91b3c8a8d4517b726ca90d62e4b7018a705411ec0a7d24f0ea8df0b05503f40,18159945
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,6669999999999999929,6802676054916750951,19,Swap,152,87,0xfd35a2490be949b1fd3b1ef7a438f37a3f10317cc80e60bb4dcf681f18c6f01e,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x6a93022cb2709b96a79b2ced104d5900b21d786c8f0b038034d375f66c8b14e6,18160683
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,False,False,2000000000000000000,2038883740135722742,19,Swap,120,52,0xf88050ba1927b93d5388b0fea8765e84c23c030b09d6c2467536b6fddfbb2074,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x36122936d08efb4aa6b90a1b1061588fe7b572a1a27ca2a4237cbdacc2e2e6d1,18160705
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,11167656918500697683,11375175821000496215,17,Swap,235,43,0xdb6b572e95fb3926b258db28d949796f1ff28d0163334b094767029eaff3e978,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xa969c550bb618076b5cec87f34808fdd0293b12678f002f4b343add5375f6b5e,18160783
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,2347073134587643885,2384945275108923145,14,Swap,127,50,0x298789595e0b8740a07c35c3a6bf37fee7494e96b7591fbe52673d5e6f03a7d1,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x2d8811541e3081c8592a0ec51841d72df157b47146596b7132466b226337d60d,18161046
0x4a585e0F7c18e2C414221D6402652D5e0990E5F8,0x3208684f96458c540Eb08F6F01b9e9afb2b7d4f0,False,False,9666790477627763,9807386239671790,14,Swap,265,114,0x277768ba24ad855b3e998d7510ea40d77a42bde6dea3b611989c9f21436a8093,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0xd0d8b8e2795502b4eefe3a0c726872b8e2dc72f4d06cf5fb3419b2161e89e645,18161275
0xbBF1EE38152E9D8e3470Dc47947eAa65DcA94913,0x0fc59C9C998537c940a9Dfc7DacDe533a9c496Fe,True,False,1000000000000000000,984372094624358725,16,Swap,19,14,0x21426ce1b959fd56c8d28780a178a72e0b9b58c1f82706796aeb108f647c943b,0x0CE176E1b11A8f88a4Ba2535De80E81F88592bad,0x01d433963a0052cfe9a40d52dab7e137f430576b3c2696dcd2231b9c0ad28ce8,18161453
