id,blockNumber,balance_0,balance_1,total_supply
408,18605552,53533171930230723490155,53866549257769622519638,99095492437182509757265
409,18605641,53533191755230723490155,53866529429790618911230,99095492437182509757265
410,18605725,53549732371868799051692,53849986492271258188333,99095492437182509757265
411,18606076,53377201459089146542989,54027589386512662614581,99095492437182509757265
412,18606076,53377201459089146542989,54027589386512662614581,99095492437182509757265
413,18606076,53377201459089146542989,54027589386512662614581,99095492437182509757265
414,18606078,53383601459088946542989,54021187230269598477798,99095492437182509757265
415,18606109,53383385792263639697602,54021402990529645930787,99095492437182509757265
416,18606160,53548280755285717721993,53856469405829506785396,99095492437182509757265
417,18606368,53580680732725272155539,53824055657052200734162,99095483188916849442631
418,18606381,53579909357938775021691,53824827183549951429228,99095483188916849442631
419,18606415,53579642180302698167221,53825094413900305096480,99095483188916849442631
420,18606425,53559646368956224237617,53845094413900305096480,99095483188916849442631
421,18606439,53530881444947697234437,53873866206325351700163,99095483188916849442631
