blockNumber,fee_in_ETH,fee_in_stETH
18182648,3.763425253083905e-06,0
18182651,0,0.0015002768578046798
18182733,3.952494654082422e-06,0
18182774,3.5424432283747514e-06,0
18182805,9.220447669252721e-07,0
18182835,0,1.6112237233950188e-05
18182835,0,1.0028273345861096e-05
18182835,2.576374510577448e-08,0
18182840,3.695468595649285e-06,0
18182895,5.127320896128565e-06,0
18182929,3.5694523624449435e-06,0
18183010,3.659563674945127e-06,0
18183121,3.654455460995651e-06,0
18183178,3.6584558509015534e-06,0
18183241,3.600448516915323e-06,0
18183245,0.0006193962364997801,0
18183319,0.0010997925923995403,0
18183619,3.875895271620316e-05,0
18183619,0,1.4798393954604408e-05
18183619,1.479405425979589e-05,0
18183751,0.0034877315978455933,0
18183818,0.0018995641764519911,0
18184004,0,0.000942499760441897
18184088,3.0515717794923348e-05,0
18184088,0,1.1650699175598172e-05
18184088,1.1646858882057867e-05,0
18184233,2.8693983700604922e-05,0
18184256,0.003557057872318855,0
18184273,0,9.202409052727251e-05
18184303,0,0.0006288863255366993
18184342,0.0030000132124163967,0
18184418,0.00030412776575108516,0
18184466,0,0.0012514232116041715
18184548,0.018905975952831375,0
18184563,0,0.005002032060012792
18184594,0,0.009423276274358778
18184817,0,0.00601981951286873
18184919,0,0.0020005049531052715
18184930,0,7.359210473220246e-06
18184944,2.0136535100143016e-09,0
18185024,0,0.013955905973832667
18185041,0.0047017962239703694,0
18185066,0.00045892153546181176,0
18185175,0.00798092378730998,0
18185200,6.498458580682828e-05,0
18185515,9.997621885850712e-05,0
18185629,0.0009997577219857184,0
18185696,0.005255341566889515,0
18185722,0,0.0001000288704251539
18185783,0.01399516917179579,0
18185838,0,0.006291367789978562
18186142,0.0009996451274236927,0
18186320,0.0005035010651739954,0
18186327,0.0004998174736250253,0
18186337,0.0004998154435690349,0
18186352,0,0.00010003708741895595
18186724,0,6.502351495104335e-05
18187110,0,0.0009003362053425099
18187436,0,0.013204106926452332
18187538,1.656563822456498e-05,0
18187538,0.0018540550944880444,0
18187571,0,0.006001352628146224
18187744,5.141297748607169e-05,0
18187806,0.0002739358613546905,0
18187928,0.0029160850828701974,0
18188128,3.6957892241037087e-06,0
18188139,3.732851826949629e-06,0
18188169,0.004053791516677406,0
18188174,3.864488554017973e-06,0
18188214,3.948599062005087e-06,0
18188229,1.0078168173352974e-05,0
18188261,1.0213659299202941e-06,0
18188270,0,0.00800198808231389
18188276,3.6546991050342663e-06,0
18188333,3.781723289132183e-06,0
18188383,0,0.012592075717742209
18188403,3.8581325049927655e-06,0
18188433,4.202046648465484e-05,0
18188438,3.688081216326067e-06,0
18188486,0.001589808328440634,0
18188509,3.757152817071189e-06,0
18188535,3.683131963854484e-06,0
18188581,3.972112808846071e-06,0
18188619,0.0001502643203700393,0
18188634,3.759048409863712e-06,0
18188666,0.012097752112802753,0
18188673,3.6986678366053004e-06,0
18188734,3.697667544854799e-06,0
18188771,3.6165527936088884e-06,0
18188812,2.302979947016948e-05,0
18188819,3.791683581169742e-06,0
18188871,3.872698066197158e-06,0
18188873,0.007148543242732156,0
18188944,0,0.005801517298576321
18188962,3.7496346719730797e-06,0
18188986,2.752110379933729e-05,0
18189108,3.7596354090527024e-06,0
18189151,3.6586182260330545e-06,0
18189175,0,0.001000234272909135
18189214,3.7966722961041074e-06,0
18189231,2.523529960239817e-06,0
18189276,0,0.0018492988768488677
18189289,3.6987103386696366e-06,0
18189311,0,0.006948496613694507
18189314,3.856958364155273e-06,0
18189397,3.98699054705119e-06,0
18189400,0,0.00010001584340607002
18189438,3.7569363260030707e-06,0
18189499,3.7819424423316466e-06,0
18189524,0.000499741499847744,0
18189546,3.951968639029971e-06,0
18189553,4.9991881975617034e-05,0
18189598,0.0031994381929936477,0
18189624,3.6945078621167147e-06,0
18189743,3.7864278467664368e-06,0
18189775,0.0004979050567782618,0
18189861,3.97285240515845e-06,0
18190018,3.787101482019631e-06,0
18190140,0.0009998003105317242,0
18190223,0.015496605811351186,0
18190278,0,0.002501407823343998
18190280,0,0.02941742910547856
18190638,0,0.00020001390567970137
18190730,0.00481593100712569,0
18190823,0.0009263285701718435,0
18190843,0.001328313111274192,0
18190849,0.00014998098224810913,0
18191217,8.919799341522085e-06,0
18191301,0.006198396538541789,0
18191314,3.1990912590361485e-05,0
18191355,0,0.000250070793580227
18191377,2.7603306310002692e-05,0
18191385,0,0.025731180979057026
18191514,0,2.500190007773184e-05
18191521,0.00017635863434590916,0
18191670,0.0019998290580807406,0
18191698,0,5.000467077418143e-05
18191817,0.0005341720312523319,0
18191951,0.0003349668635024619,0
18191968,0.00016998283508329293,0
18192090,1.0001000100010003e-22,0
18192170,0.000709439546352204,0
18192215,6.099343120509894e-05,0
18192296,0.0009968883450312707,0
18192301,5.7694713906921305e-05,0
18192493,0.0001917761432917235,0
18192663,0.001002395623418016,0
18192680,0.0015962259653926588,0
18192958,0.0034994628350983703,0
18192998,0.0020221220476289575,0
18193126,0.00015951403280404545,0
18193241,0.0005998872487501954,0
18193388,1.0308292709811684e-05,0
18193437,1.0181362375494174e-06,0
18193554,0.0005145079677337207,0
18193653,0,2.8741562939590472e-06
18193748,0.00030394045317611436,0
18193761,0.0005963450486120279,0
18193967,0.00037992266414401467,0
18194278,0.0005133475117422765,0
18194339,5.022416336751049e-06,0
18194498,0,0.0076813932332425935
18194628,0.0005713159574623157,0
18194905,0.00033322863155698767,0
18194931,6.154607179252151e-07,0
18194970,0.0004053417301878795,0
18194986,0.0005045897972745547,0
18195092,0.0003973109497945739,0
18195271,0.008627246217921962,0
18195472,0,0.016278801776813005
18195528,0,0.003000281009747356
18195561,3.0626860034430834e-06,0
18195641,0.001124770180929129,0
18195827,1.0853185076899326e-05,0
18196120,1.1379748580095864e-05,0
18196128,0.0003574740091871883,0
18196424,0.0003999618597519888,0
18196761,1.9001643297630407e-06,0
18197021,0.00018908368781807864,0
18197402,0.0009027640397970843,0
18197480,0.0006574494225215347,0
18197766,0.05489615669431966,0
18197766,0,0.030510643802518826
18197817,1.0041612023001939e-05,0
18197963,0,0.00499717418772365
18197999,0.0004998611741212976,0
18198019,0.06096779939907804,0
18198019,0,0.05529896350840124
18198061,0,0.0021208217345262295
18198197,0,0.0028876383268740522
18198350,0,0.011252695538866778
18198513,0,0.010001530819874626
18198521,2.5822369941133517e-05,0
18198544,4.047029174969429e-06,0
18198652,0,0.0005000567941961291
18198798,0,0.00010001111255966802
18198866,0,0.015000744904578707
18198915,1.2259042210088383e-06,0
18199256,8.509890555008039e-05,0
18199391,0.0009850858424297298,0
18199405,0.0003316803248092299,0
18199452,1.2967386591376307e-05,0
18199515,0.00911521772912117,0
18199609,0.0037772794054782817,0
18200020,3.0361194030320223e-06,0
18200057,0,0.009402395462963556
18200177,0.0029478954544380786,0
18200395,0,2.1311130809803175e-05
18200456,3.206225500426116e-06,0
18200853,9.999469313267609e-06,0
18200872,5.101569776160151e-07,0
18200986,1.2174802911328238e-06,0
18201262,0.036039789007377955,0
18201262,0,0.01092130379903165
18201884,3.4563077309422125e-06,0
18201896,1.999484359611483e-05,0
18201902,1.9994840341067493e-05,0
18201940,2.9992251976470325e-05,0
18201964,0,0.0037009005430028476
18202123,4.195948929351097e-06,0
18202276,0,0.00011816392079343503
18202637,0,0.0039889598217546784
18202739,1.9996095168203416e-05,0
18203237,0.0002499513989687023,0
18203427,5.078096348715947e-05,0
18203591,0,1.0001958721630442e-07
18203643,4.699079493146069e-06,0
18203676,9.998999617484709e-08,0
18203684,0.0030272322658457156,0
18203766,0,0.0020873425566090295
18203888,0,0.00200039101193988
18204006,0.056228769251259476,0
18204006,0,0.021469711992042215
18204007,0,0.015006142077415924
18204031,0.06605552090271902,0
18204031,0,0.025219306192674134
18204032,0,0.040191580420408095
18204157,0.0014994600972595437,0
18204174,0,1.0003661712478767e-07
18204205,9.997366304092972e-06,0
18204288,0,0.001181203106399709
18204370,0,0.000627648301698271
18204389,0,0.0005647833650713364
18204507,7.071149665125028e-06,0
18204737,0,0.01000307906001122
18204784,0,0.0004951312584170046
18204962,5.67072840318502e-05,0
18205094,0,0.001880481203209059
18205123,0,0.0020531491007852445
18205138,9.997684613441827e-07,0
18205213,0,0.002052689307050566
18205314,0,1.000215152899644e-05
18205339,0,1.0002150714685957e-05
18205369,0,7.817500979796301e-06
18205470,0,0.0020004136477904427
18205499,0,0.006001045517269003
18205558,0.00018897154165914385,0
18205598,3.011035995463749e-05,0
18205630,2.6200496525932894e-05,0
18205717,5.0165404410477875e-05,0
18205785,2.0066156028091503e-05,0
18205812,0.001299790184052387,0
18205880,0.0008414865054754828,0
18205896,2.3075673136287336e-05,0
18205979,7.535487640716557e-05,0
18206045,0.013685171572174233,0
18206048,2.7714874302570537e-05,0
18206081,0.020002649105055333,0
18206250,0,0.0012505548434538045
18206413,0,0.20630873627379948
18206413,0.2066362444127728,0
18206454,0,0.0064026530535538926
18206458,0.0011302548233164346,0
18206468,0.00118719459284863,0
18206469,0,0.023007214590991164
18206608,0.0019995437736088275,0
18206685,0.00010060383940104867,0
18206808,1.9562908257080094e-05,0
18206816,9.910145148980174e-07,0
18206940,4.998811474094819e-05,0
18206949,1.001877877404416e-05,0
18206994,1.001877795686453e-05,0
18207001,1.0018777139684957e-05,0
18207018,1.001877632250544e-05,0
18207027,1.0018775505325982e-05,0
18207039,1.0018774688146582e-05,0
18207116,1.899535572228883e-05,0
18207297,9.007522596482286e-05,0
18207545,0,0.00023005497025644714
